repo_name,refactors
p2pu/learning-circles,42
pandas-dev/pandas,308
paninski-lab/yass,60
pantsbuild/pants,204
paradajz/OpenDeck,90
part-up/part-up,40
pculture/unisubs,98
peachpiecompiler/peachpie,146
percy/percy-web,112
perl6/doc,260
pfalcon/micropython,245
pg-irc/pathways-frontend,349
pharo-project/pharo,768
phenotips/phenotips,59
phetsims/area-model-common,77
phetsims/equality-explorer,215
phetsims/scenery,117
phetsims/scenery-phet,124
phetsims/sun,92
phoenixz/base,242
phoronix-test-suite/phoronix-test-suite,68
photonstorm/phaser,253
pierreguillot/Camomile,44
pingcap/docs-cn,23
pixelhumain/co2,28
pkimes/benchmark-fdr,53
platformio/platformio-core,39
ploeh/ploeh.github.com,1
plumed/plumed2,61
pnpm/pnpm,177
polyaxon/polyaxon,248
polymonster/pmtech,80
postmanlabs/newman,29
powerblo/End-of-a-New-Beginning,63
prebid/Prebid.js,161
predictive-technology-laboratory/sensus,65
prestodb/presto,665
primer/primer,58
prmr/JetUML,123
progmaticltd/homebox,72
project-ncl/pnc,96
projectcalico/calico,49
propublica/facebook-political-ads,57
pscedu/slash2-stable,32
psychopy/psychopy,115
pubkey/rxdb,26
pubpub/pubpub,52
purduesigbots/pros-docs,18
pwcazenave/PyFVCOM,55
pycket/pycket,85
pycroscopy/pycroscopy,171
pyfa-org/Pyfa,89
pymedusa/Medusa,175
pypa/warehouse,91
python/typeshed,77
qemu/skiboot,128
qreal/qreal,41
quasarframework/quasar,185
queryluke/masseffect-5e,39
quintel/etmodel,36
quintel/etsource,106
quodlibet/quodlibet,79
qutebrowser/qutebrowser,272
r-spacex/SpaceX-API,42
rabbitmq/rabbitmq-website,39
radiasoft/sirepo,128
raiguard/ModernGadgets,60
railt/railt,54
rakudo/rakudo,450
ram-on/SkyTube,25
raonix-github/openwrt,97
raster-foundry/raster-foundry,107
ratheesh/dot-files,49
ray-project/ray,196
rdevon/cortex,29
reactioncommerce/reaction,1157
realityforge/replicant,357
realm/SwiftLint,77
reasonml-editor/reasonml-idea-plugin,98
redcanaryco/atomic-red-team,49
redcode/Z,23
redhat-openstack/infrared,108
reflex-frp/reflex-platform,60
regardscitoyens/the-law-factory-parser,74
reicast/reicast-emulator,83
reimagined/resolve,50
rematch/rematch,63
remomueller/slice,83
rentpath/react-ui,61
researchstudio-sat/webofneeds,706
restic/restic,88
rgocervantes/roducks,102
ribamar-santarosa/champselysees,57
riga/law,87
riganti/dotvvm,54
riscv/riscv-openocd,85
rivine/rivine,59
rndusr/stig,158
robolectric/robolectric,196
roelandjansen/UHSDR,55
rook/rook,71
rootsongjc/kubernetes-handbook,9
roundcube/roundcubemail,98
rpnow/rpnow,82
rsiebert/TVHClient,209
rstoneback/pysat,59
rstudio/sparklyr,261
rtfd/readthedocs.org,208
rubberduck-vba/Rubberduck,429
ruby-x/rubyx,125
rubymonsters/diversity_ticketing,153
ruymanengithub/vison,64
salesforce/Argus,93
salopensource/sal,97
samdauwe/BabylonCpp,50
samfun123/KtaneTwitchPlays,120
sampotts/plyr,42
sanity-io/sanity,150
sapcc/elektra,51
sapcc/helm-charts,131
saulpw/visidata,122
scala/scala,621
scalableminds/webknossos,252
scalameta/scalameta,217
scanner-research/scanner,51
scgmlz/BornAgain,421
schollz/croc,24
scikit-hep/uproot,45
scipilot/sysrev-assist,107
scoophealth/oscar,25
scylladb/seastar,186
sdl/Sdl-Community,157
sdl/dxa-modules,109
sdss/marvin,72
seankross/the-unix-workbench,1
secdev/scapy,99
seek4science/seek,125
sendgrid/docs,140
sensebox/sensebox.github.io,12
sensu/sensu-docs,64
sergejey/majordomo,21
servo/webrender,484
severalnines/s9s-tools,36
sg-s/xolotl,42
shentino/kotaka,104
shikimori/neko-achievements,38
shirasagi/shirasagi,71
shogun-toolbox/shogun,92
shopware/shopware,197
siconos/siconos,68
signumsoftware/extensions,52
signumsoftware/framework,51
siimple/siimple,143
silverstripe/silverstripe-admin,51
simonsdave/cloudfeaster-services,150
sinfin/folio,50
sireum/v3,103
sistemasases/moduloases,22
sitespeedio/browsertime,50
sklintyg/common,13
sklintyg/statistik,8
skycocker/chromebrew,51
skylines-project/skylines,89
skyvers/skyve,50
slundberg/shap,37
smallAreaHealthStatisticsUnit/rapidInquiryFacility,196
smartdevicelink/sdl_evolution,129
smartdevicelink/sdl_ios,96
smcameron/space-nerds-in-space,68
smeighan/xLights,89
smithtimmytim/brightlycolored.org,23
smrealms/smr,343
soajs/soajs.dashboard,60
sodash/open-code,15
sofa-framework/sofa,240
sogis/gretljobs,27
sonvister/Binance,48
sozu-proxy/sozu,93
spacewalkproject/spacewalk,51
sparkdesignsystem/spark-design-system,175
spectrecoin/spectre,76
spinnaker/spinnaker.github.io,45
spotify/scio,86
spotify/styx,156
squanchy-dev/squanchy-android,310
squatsandsciencelabs/OpenBarbellApp,46
srp33/WishBuilder,38
stanfordhpccenter/soleil-x,93
stardiviner/emacs.d,102
stephenegriffin/mfcmapi,161
stinsonga/emacs-mirror,578
stoodkev/SteemPlus,8
strapi/strapi,197
streembit/streembitui,29
streetmix/streetmix,247
strongbox/strongbox,177
structr/structr,157
substance/substance,124
substratum/substratum,123
suculent/thinx-device-api,43
supercollider/supercollider,171
supnate/rekit,59
sustrik/libdill,38
swaywm/wlroots,165
switchbrew/libnx,86
symfony/http-kernel,80
systemd/systemd,1064
syuilo/Misskey,698
szymonlesisz/trezor-connect-alpha,90
tboox/xmake,204
teamcapybara/capybara,87
teampheenix/StarCraft-Casting-Tool,45
tech-conferences/confs.tech,31
telefonicaid/iotagent-node-lib,16
telldus/telldus-live-mobile-v3,227
tensorflow/docs,107
tensorflow/minigo,171
tensorflow/models,161
tenstream/tenstream,98
tentone/nunuStudio,142
texta-tk/texta,46
tgstation/tgstation-server,134
thalerjonathan/phd,109
the-it/WS_THEbotIT,34
theblackwidower/KanaQuiz,223
theborg3of5/ahk,205
theonlydude/RandomMetroidSolver,79
thheller/shadow-cljs,63
thommcgrath/Beacon,41
thought-machine/please,76
thunderhoser/GewitterGefahr,83
tinylabproductions/tlplib,64
tmobile/jazz-installer,94
toastkidjp/Yobidashi_kt,152
tobiipro/support-firecloud,58
toggl/toggldesktop,57
tomastrajan/angular-ngrx-material-starter,83
tongueroo/ufo,50
tonyofrancis/Fetch,108
totalgood/nlpia,22
tranquilit/WAPT,103
transcendent-ai-labs/PlasmaML,114
travis-ci/worker,49
trezor/python-trezor,70
tripal/tripal,61
triplea-game/triplea,439
troubling/hummingbird,65
tsuru/tsuru,74
tualatin/tailforwindows,164
tuelsch/bolg,66
tulios/kafkajs,49
tumic0/GPXSee,98
tuomount/Open-Realms-of-Stars,45
tutao/tutanota,79
tutti-ch/react-styleguide,13
tuxbox-neutrino/gui-neutrino,112
twm/yarrharr,50
twosigma/beakerx,95
twschum/mix-mind,69
uias/Tabman,102
uikit/uikit,128
ulaval/modul-components,123
ulfalizer/Kconfiglib,203
unicef/etools-partnership-management,298
unity3d-jp/MeshSync,91
unitystation/unitystation,152
unixorn/awesome-zsh-plugins,33
uw-it-edm/content-services-ui,21
vapor/vapor,71
verejnedigital/verejne.digital,102
veritone/veritone-sdk,102
vertexproject/synapse,125
vespa-engine/vespa,1697
victorbrodsky/order-lab,32
vital-software/vitalizer,28
vnpy/vnpy,4
vortex-exoplanet/VIP,129
voyages-sncf-technologies/hesperides,52
vshaxe/haxe-languageserver,85
vsouza/awesome-ios,34
vteams/open-source-billing,26
vue-gl/vue-gl,56
vxbinaca/archive-env-NG,7
waqasbhatti/astrobase,36
washingtondc-emu/washingtondc,85
wavebox/waveboxapp,66
way-cooler/way-cooler,55
waynestate/base-site,67
wazuh/wazuh-kibana-app,288
wcm-io-qa/wcm-io-qa-galenium,65
web3j/web3j,52
webbestmaster/ae3,92
webdriverio/webdriverio,57
webpack/webpack,313
webrecorder/webrecorder,119
westnordost/StreetComplete,54
whitesource/fs-agent,97
wieslawsoltes/Core2D,95
wikimedia/integration-config,79
wikimedia/mediawiki-extensions-MobileFrontend,209
wikimedia/operations-software-librenms,158
wildfly/wildfly,326
wilkerlucio/pathom,65
wireapp/wire-ios-sync-engine,71
wireapp/wire-webapp,208
wix/wix-style-react,122
wopian/kitsu-season-trends,26
woq-blended/blended,184
wordpress-mobile/AztecEditor-Android,77
wordpress-mobile/WordPress-FluxC-Android,276
wordpress-mobile/WordPress-iOS,915
wrohdewald/Gpxity,146
wso2-extensions/identity-inbound-auth-oauth,88
wso2/carbon-device-mgt,19
wso2/carbon-identity-framework,167
wso2/devstudio-tooling-esb,20
wso2/product-ei,49
wtsi-hgi/hgi-systems,86
wwmm/pulseeffects,361
xbed/Mixly_Arduino,11
xboot/xboot,52
xenodium/dotsies,55
xesscorp/KiCost,60
xieguigang/MassSpectrum-toolkits,89
xing/hops,170
xjdr/xio,44
xodio/xod,176
xoreos/xoreos,54
xorz57/forest,70
xournalpp/xournalpp,108
xwiki-labs/cryptpad,62
yamcs/yamcs,150
yeastgenome/SGDFrontend,13
yegor256/cactoos,48
yiisoft/yii2,82
yonaskolb/XcodeGen,42
yosiakatsuki/ystandard,4
yotamfr/prot2vec,26
zaproxy/zaproxy,102
zeit/next.js,153
zeroDivisible/.emacs.d,54
zeropingheroes/lanager,80
zerothi/sisl,62
zorael/kameloso,323
zstackio/zstack-utility,61
zubairq/yazz,280
zulip/zulip,1332
zurb/foundation-sites,125
