repo_name,refactors
ElucidataInc/ElMaven,112
ElvisResearchGroup/L42,37
EmmyLua/IntelliJ-EmmyLua,55
End-to-end-provenance/RDataTracker,121
Ensembl/ensembl-compara,104
Ensembl/ensembl-webcode,77
EscherLabs/Graphene,56
Evolveum/midpoint,363
ExpediaDotCom/haystack-ui,147
Expensify/Bedrock,72
FINRAOS/herd,44
FTSRG/ingraph,124
FertigLab/CoGAPS,41
File-New-Project/EarTrumpet,106
FoalTS/foal,173
FoglyOgly/Meowth,22
Freemius/wordpress-sdk,119
FriendsOfPHP/PHP-CS-Fixer,95
FundRequest/platform,61
GCModeller-Cloud/php-dotnet,96
GMOD/jbrowse,122
GNOME/dconf-editor,73
GNOME/devhelp,103
GNOME/glib,203
GNOME/gnome-music,151
GNOME/vala,57
GeoNet/delta,8
GetAmbassador/react-ions,17
GetStream/Winds,247
GiovanniBussi/test-travis-ci,46
GitSquared/edex-ui,19
GlobalDigitalLibraryio/book-api,41
GlukKazan/Dagaz,1
GoogleChromeLabs/ProjectVisBug,36
GoogleCloudPlatform/magic-modules,86
GoogleCloudPlatform/training-data-analyst,64
GovReady/govready-q,62
Gr8z/Legend-Cogs,20
Graylog2/graylog2-server,101
GridProtectionAlliance/gsf,46
GrottoPress/jentil,136
Grumbel/dirtool,186
Hack23/cia,629
Hains/openpli-dm8000-oe-core,90
Harrix/Harrix-Html-Template,121
Hiroto-K/Anime-push,36
Hiroto-K/blog,57
Homebrew/brew,362
Homebrew/homebrew-core,596
HumanExposure/factotum,133
IBMStreams/streamsx.topology,105
ILSCeV/Lara,45
ISO-tech/sw-d8,111
Icinga/icingaweb2-module-director,68
Implem/Implem.Pleasanter,86
InfernoEngine/engine,20
InnovateUKGitHub/innovation-funding-service,1255
InseeFr/Eno,50
IntegratedAlarmSystem-Group/ias,166
IntegratedAlarmSystem-Group/ias-webserver,68
Intel-Media-SDK/MediaSDK,137
IntelLabs/hpat,174
IshentRas/cookbook-openshift3,23
ItsCalebJones/SpaceLaunchNow-Server,27
JMRI/EngineDriver,47
JavaEden/Orchid,75
Jedisjeux/Jedisjeux,122
Jeffail/benthos,81
JetBrains/intellij-scala,453
JetBrains/resharper-unity,228
Jguer/yay,115
JiHong88/SunEditor,17
John-Leitch/Aphid,163
JohnSnowLabs/spark-nlp,129
JuliaGPU/CUDAnative.jl,88
JuliaReach/Reachability.jl,88
K-Fet/K-App,43
KC3Kai/KC3Kai,55
KeldorKatarn/OpenTTD_PatchPack,55
KhronosGroup/SPIRV-Cross,51
KhronosGroup/SPIRV-Tools,150
LBNL-UCB-STI/beam,433
LGoodacre/context-sequencer,60
LLK/scratch-blocks,85
LandOfTheRair/landoftherair,82
LightningNetwork/lnd,275
LogicalDash/LiSE,70
LogtalkDotOrg/logtalk3,108
LorittaBot/Loritta,43
LouisCAD/Splitties,148
LuccaSA/lucca-front,81
MDAnalysis/mdanalysis,88
MHSCSClub/MHSAlumDB,6
MRChemSoft/mrchem,58
ManiacalLabs/BiblioPixel,124
ManifoldScholar/manifold,101
MarxMustermann/OfMiceAndMechs,146
MassDistributionMedia/rc-ca-blinds,722
McMartin/FRUT,104
MedShake/MedShakeEHR-base,15
MerryMage/dynarmic,121
MesserLab/SLiM,66
MethodicalAcceleratorDesign/MAD,566
Michael2109/cobalt,81
Microsoft/PTVS,198
Microsoft/hcsshim,64
Microsoft/pxt,132
MiczFlor/RPi-Jukebox-RFID,45
MineLittlePony/MineLittlePony,87
MinnPost/minnpost-wordpress,14
Mirantis/virtlet,52
MishkaRogachev/JAGCS,86
MorganGeek/bookmarks,12
MoveOnOrg/mop-frontend,128
Multiscale-Genomics/mg-process-fastq,87
MyEtherWallet/MyEtherWallet,247
NCI-Agency/anet,259
NMGRL/pychron,59
NativeScript/android-runtime,62
Neamar/KISS,86
NeblioTeam/neblio,72
Netflix/lemur,24
NewSpring/Apollos,69
Normation/rudder-packages,12
OCA/account-financial-tools,12
OCA/sale-workflow,10
OCSInventory-NG/OCSInventory-ocsreports,26
OGRECave/ogre,178
ORNL-CEES/DataTransferKit,71
OceanPARCELS/parcels,90
OmicsDI/ddi-web-app,57
OntimizeWeb/ontimize-web-ngx,54
OpenBazaar/openbazaar-go,168
OpenBfS/lada-client,43
OpenCollective/opencollective-api,154
OpenDreamKit/OpenDreamKit.github.io,16
OpenGeoscience/geojs,60
OpenLiberty/open-liberty,606
OpenSID/OpenSID,9
OpenSlides/OpenSlides,54
OpenVidu/openvidu,18
Or3stis/apparatus,67
OxfamFairTrade/oftc,4
PDOK/data.labs.pdok.nl,72
PDXFinder/pdxfinder,99
PECE-project/drupal-pece,30
PMEAL/OpenPNM,141
PRX/Infrastructure,60
PanDAWMS/panda-bigmon-core,34
PapirusDevelopmentTeam/papirus-icon-theme,18
Paratii-Video/paratiisite,9
PayBreak/basket,99
PenguinF/sandra-three,225
PhantomBot/PhantomBot,33
PopulateTools/gobierto,205
ProteinsWebTeam/interpro7-client,109
PureSwift/Bluetooth,157
PyCQA/pylint,76
QEF/q-e_schrodinger,80
QoboLtd/cakephp-csv-migrations,129
QuantConnect/Lean,329
RNAcentral/rnacentral-webcode,87
ROBOTIS-GIT/OpenCR,18
ROBOTIS-GIT/emanual,120
RT-Thread/rt-thread,69
RailsEventStore/rails_event_store,237
RectorPHP/Rector,342
RetroShare/RetroShare,115
Ribtoks/xpiks,155
RigsOfRods/rigs-of-rods,305
Riverscapes/pyBRAT,40
RoboJackets/apiary,73
RolandKujundzic/rkphplib,35
SKA-ScienceDataProcessor/integration-prototype,128
SMRUCC/GCModeller,328
SSEHUB/EASyProducer,87
SUNET/eduid-webapp,40
SUSE/DeepSea,76
Samourai-Wallet/samourai-wallet-android,65
SatelliteQE/robottelo,35
Scan-o-Matic/scanomatic,105
SciCatProject/catanie,121
ScorexFoundation/sigmastate-interpreter,230
Seklfreak/Robyul2,130
ServUO/ServUO,86
SickGear/SickGear,35
SickRage/SickRage,81
SimonBiggs/scriptedforms,39
SleepyTrousers/EnderIO,194
SnowdogApps/magento2-alpaca-theme,60
Softmotions/iowow,35
SoftwareHeritage/puppet-swh-site,58
Sometrik/framework,145
SonarSource/sonarqube,266
Sp2000/colplus-backend,75
SpinVR/three.js,514
StackStorm/st2,250
StadGent/fractal_styleguide_gent-base,119
StamusNetworks/scirius,53
StefReck/Km3-Autoencoder,30
Stellarium/stellarium,72
StevenBlack/hosts,7
StraboSpot/strabo-mobile,38
SuperTux/supertux,388
SusanDoggie/Doggie,28
SwiftStudies/OysterKit,102
Sylius/Sylius,142
Symantec/Dominator,59
SymbiFlow/prjxray,119
SymbiFlow/symbiflow-arch-defs,170
TUD-OS/M3,92
Talend/data-prep,92
Tarsnap/tarsnap-gui,90
Taskana/taskana,85
TechEmpower/FrameworkBenchmarks,152
Tendrl/commons,9
TeselaGen/openVectorEditor,48
TheBastionBot/Bastion,261
TieDyedDevil/K,234
TobitSoftware/chayns-components,49
TradeMe/tractor,37
TravelModellingGroup/XTMF,96
TzuChieh/Photon-v2,105
UH-StudentServices/mystudies-myteaching-backend,40
UPDDI/mps-database-server,111
Ultimaker/Cura,695
Ultimaker/Uranium,130
UniversalDependencies/tools,33
VoltDB/voltdb,87
WLOGSolutions/RSuite,38
WPGlobus/WPGlobus,47
WSULib/combine,83
Wandalen/wFiles,72
Wandalen/wTools,43
Watson-Personal-Assistant/developer,11
