hit_rate_q1,hit_rate_q2,files
0.09,0.04,22
0.09,0.05,24
0.09,0.06,18
0.09,0.07,33
0.09,0.08,33
0.09,0.09,28
0.09,0.1,27
0.09,0.11,26
0.09,0.12,13
0.09,0.13,23
0.09,0.14,13
0.09,0.15,19
0.09,0.16,10
0.09,0.17,20
0.09,0.18,14
0.09,0.19,11
0.09,0.2,22
0.09,0.21,9
0.09,0.22,2
0.09,0.23,10
0.09,0.24,5
0.09,0.25,11
0.09,0.26,4
0.09,0.27,11
0.09,0.28,1
0.09,0.29,6
0.09,0.3,5
0.09,0.31,6
0.09,0.33,7
0.09,0.35,4
0.09,0.36,3
0.09,0.38,1
0.09,0.4,2
0.09,0.41,1
0.09,0.44,1
0.09,0.45,1
0.09,0.47,1
0.09,0.5,1
0.09,0.56,1
0.09,0.57,1
0.09,0.6,1
0.1,0,95
0.1,0.01,2
0.1,0.02,7
0.1,0.03,31
0.1,0.04,27
0.1,0.05,43
0.1,0.06,39
0.1,0.07,36
0.1,0.08,37
0.1,0.09,32
0.1,0.1,33
0.1,0.11,14
0.1,0.12,9
0.1,0.13,26
0.1,0.14,23
0.1,0.15,19
0.1,0.16,11
0.1,0.17,28
0.1,0.18,22
0.1,0.19,12
0.1,0.2,21
0.1,0.21,10
0.1,0.22,6
0.1,0.23,8
0.1,0.24,6
0.1,0.25,11
0.1,0.26,1
0.1,0.27,11
0.1,0.28,5
0.1,0.29,7
0.1,0.3,6
0.1,0.31,1
0.1,0.32,1
0.1,0.33,6
0.1,0.35,4
0.1,0.36,2
0.1,0.39,1
0.1,0.4,1
0.1,0.42,1
0.1,0.45,1
0.1,0.46,1
0.1,0.5,1
0.1,0.55,1
0.1,0.64,1
0.11,0,50
0.11,0.01,3
0.11,0.02,7
0.11,0.03,21
0.11,0.04,24
0.11,0.05,22
0.11,0.06,18
0.11,0.07,14
0.11,0.08,25
0.11,0.09,15
0.11,0.1,16
0.11,0.11,16
0.11,0.12,12
0.11,0.13,10
0.11,0.14,10
0.11,0.15,11
0.11,0.16,13
0.11,0.17,13
0.11,0.18,11
0.11,0.19,7
0.11,0.2,16
0.11,0.21,10
0.11,0.22,4
0.11,0.23,10
0.11,0.24,8
0.11,0.25,6
0.11,0.26,2
0.11,0.27,5
0.11,0.28,4
0.11,0.29,2
0.11,0.3,2
0.11,0.31,4
0.11,0.32,2
0.11,0.33,2
0.11,0.37,1
0.11,0.38,2
0.11,0.39,1
0.11,0.4,2
0.11,0.42,1
0.11,0.44,1
0.11,0.45,1
0.12,0,46
0.12,0.01,3
0.12,0.02,3
0.12,0.03,18
0.12,0.04,22
0.12,0.05,12
0.12,0.06,20
0.12,0.07,22
0.12,0.08,16
0.12,0.09,11
0.12,0.1,9
0.12,0.11,16
0.12,0.12,11
0.12,0.13,12
0.12,0.14,17
0.12,0.15,11
0.12,0.16,5
0.12,0.17,7
0.12,0.18,13
0.12,0.19,7
0.12,0.2,15
0.12,0.21,11
0.12,0.22,6
0.12,0.23,6
0.12,0.24,4
0.12,0.25,3
0.12,0.26,2
0.12,0.27,8
0.12,0.28,1
0.12,0.29,2
0.12,0.3,8
0.12,0.31,2
0.12,0.33,3
0.12,0.35,2
0.12,0.38,2
0.12,0.4,2
0.12,0.42,1
0.12,0.43,1
0.12,0.45,1
0.12,0.48,1
0.12,0.5,1
0.12,0.55,1
0.12,0.56,1
0.13,0,72
0.13,0.01,2
0.13,0.02,3
0.13,0.03,16
0.13,0.04,24
0.13,0.05,16
0.13,0.06,29
0.13,0.07,31
0.13,0.08,38
0.13,0.09,23
0.13,0.1,23
0.13,0.11,13
0.13,0.12,13
0.13,0.13,18
0.13,0.14,25
0.13,0.15,20
0.13,0.16,17
0.13,0.17,16
0.13,0.18,17
0.13,0.19,12
0.13,0.2,19
0.13,0.21,16
0.13,0.22,5
0.13,0.23,5
0.13,0.24,6
0.13,0.25,15
0.13,0.26,5
0.13,0.27,10
0.13,0.28,7
0.13,0.29,5
0.13,0.3,6
0.13,0.31,4
0.13,0.32,2
0.13,0.33,2
0.13,0.36,6
0.13,0.38,2
0.13,0.39,1
0.13,0.4,1
0.13,0.42,3
0.13,0.44,1
0.13,0.46,1
0.13,0.5,1
0.13,0.52,1
0.13,0.55,1
0.13,0.57,1
0.14,0,48
0.14,0.01,1
0.14,0.02,1
0.14,0.03,2
0.14,0.04,11
0.14,0.05,14
0.14,0.06,19
0.14,0.07,13
0.14,0.08,20
0.14,0.09,9
0.14,0.1,12
0.14,0.11,16
0.14,0.12,12
0.14,0.13,16
0.14,0.14,79
0.14,0.15,16
0.14,0.16,7
0.14,0.17,15
0.14,0.18,14
0.14,0.19,8
0.14,0.2,10
0.14,0.21,12
0.14,0.22,3
0.14,0.23,8
0.14,0.24,5
0.14,0.25,9
0.14,0.26,3
0.14,0.27,6
0.14,0.29,5
0.14,0.3,2
0.14,0.31,5
0.14,0.32,5
0.14,0.33,4
0.14,0.35,2
0.14,0.36,3
0.14,0.37,1
0.14,0.38,2
0.14,0.4,1
0.14,0.41,1
0.14,0.42,1
0.14,0.44,1
0.14,0.45,2
0.14,0.46,1
0.14,0.53,1
0.15,0,33
0.15,0.01,1
0.15,0.03,7
0.15,0.04,8
0.15,0.05,7
0.15,0.06,15
0.15,0.07,13
0.15,0.08,20
0.15,0.09,15
0.15,0.1,14
0.15,0.11,10
0.15,0.12,12
0.15,0.13,21
0.15,0.14,11
0.15,0.15,15
0.15,0.16,11
0.15,0.17,10
0.15,0.18,14
0.15,0.19,15
0.15,0.2,14
0.15,0.21,20
0.15,0.22,9
0.15,0.23,8
0.15,0.24,8
0.15,0.25,11
0.15,0.26,3
0.15,0.27,8
0.15,0.28,4
0.15,0.29,7
0.15,0.3,5
0.15,0.31,3
0.15,0.32,2
0.15,0.33,3
0.15,0.35,3
0.15,0.36,1
0.15,0.38,4
0.15,0.39,1
0.15,0.4,1
0.15,0.45,2
0.15,0.5,1
0.16,0,17
0.16,0.01,1
0.16,0.02,1
0.16,0.03,1
0.16,0.04,6
0.16,0.05,2
0.16,0.06,9
0.16,0.07,6
0.16,0.08,3
0.16,0.09,10
0.16,0.1,7
0.16,0.11,6
0.16,0.12,4
0.16,0.13,8
0.16,0.14,6
0.16,0.15,9
0.16,0.16,6
0.16,0.17,6
0.16,0.18,8
0.16,0.19,4
0.16,0.2,8
0.16,0.21,4
0.16,0.22,8
0.16,0.23,3
0.16,0.24,6
0.16,0.25,2
0.16,0.26,4
0.16,0.27,4
0.16,0.28,1
0.16,0.29,2
0.16,0.3,5
0.16,0.31,3
0.16,0.33,6
0.16,0.34,1
0.16,0.35,1
0.16,0.36,2
0.16,0.38,2
0.16,0.4,1
0.16,0.44,1
0.16,0.45,1
0.16,0.46,1
0.16,0.5,1
0.16,0.77,1
0.17,0,46
0.17,0.03,2
0.17,0.04,12
0.17,0.05,7
0.17,0.06,11
0.17,0.07,11
0.17,0.08,10
0.17,0.09,14
0.17,0.1,16
0.17,0.11,10
0.17,0.12,9
0.17,0.13,21
0.17,0.14,3
0.17,0.15,9
0.17,0.16,10
0.17,0.17,12
0.17,0.18,22
0.17,0.19,12
0.17,0.2,26
0.17,0.21,12
0.17,0.22,7
0.17,0.23,14
0.17,0.24,8
0.17,0.25,7
0.17,0.26,5
0.17,0.27,8
0.17,0.28,1
0.17,0.29,3
0.17,0.3,5
0.17,0.31,4
0.17,0.32,5
0.17,0.33,6
0.17,0.35,1
0.17,0.36,2
0.17,0.38,1
0.17,0.39,1
0.17,0.4,2
0.17,0.42,2
0.17,0.44,1
0.17,0.45,2
0.17,0.5,3
0.17,0.53,1
0.17,0.71,1
0.18,0,45
0.18,0.02,4
0.18,0.03,2
0.18,0.04,5
0.18,0.05,6
0.18,0.06,15
0.18,0.07,14
0.18,0.08,17
0.18,0.09,21
0.18,0.1,19
0.18,0.11,14
0.18,0.12,14
0.18,0.13,23
0.18,0.14,15
0.18,0.15,28
0.18,0.16,9
0.18,0.17,15
0.18,0.18,24
0.18,0.19,13
0.18,0.2,29
0.18,0.21,74
0.18,0.22,6
0.18,0.23,12
0.18,0.24,6
0.18,0.25,15
0.18,0.26,2
0.18,0.27,11
0.18,0.28,4
0.18,0.29,13
0.18,0.3,7
0.18,0.31,6
0.18,0.32,6
0.18,0.33,5
0.18,0.35,1
0.18,0.36,1
0.18,0.38,2
0.18,0.39,1
0.18,0.4,4
0.18,0.41,1
0.18,0.42,3
0.18,0.43,1
0.18,0.44,1
0.18,0.45,2
0.18,0.46,2
0.18,0.47,2
0.18,0.48,1
0.18,0.5,3
0.18,0.53,1
0.19,0,15
0.19,0.02,3
0.19,0.03,1
0.19,0.04,4
0.19,0.05,10
0.19,0.06,5
0.19,0.07,6
0.19,0.08,11
0.19,0.09,10
0.19,0.1,4
0.19,0.11,7
0.19,0.12,8
0.19,0.13,5
0.19,0.14,12
0.19,0.15,9
0.19,0.16,6
0.19,0.17,13
0.19,0.18,13
0.19,0.19,6
0.19,0.2,16
0.19,0.21,4
0.19,0.22,7
0.19,0.23,6
0.19,0.24,4
0.19,0.25,4
0.19,0.26,3
0.19,0.27,4
0.19,0.28,4
0.19,0.29,4
0.19,0.3,3
0.19,0.31,2
0.19,0.32,1
0.19,0.33,2
0.19,0.34,1
0.19,0.35,1
0.19,0.36,2
0.19,0.38,2
0.19,0.4,4
0.19,0.41,2
0.19,0.42,1
0.19,0.43,2
0.19,0.44,2
0.19,0.45,1
0.19,0.52,1
0.2,0,43
0.2,0.02,2
0.2,0.03,3
0.2,0.04,5
0.2,0.05,7
0.2,0.06,18
0.2,0.07,14
0.2,0.08,17
0.2,0.09,21
0.2,0.1,18
0.2,0.11,17
0.2,0.12,10
0.2,0.13,10
0.2,0.14,12
0.2,0.15,14
0.2,0.16,6
0.2,0.17,16
0.2,0.18,21
0.2,0.19,7
0.2,0.2,19
0.2,0.21,8
0.2,0.22,9
0.2,0.23,5
0.2,0.24,6
0.2,0.25,7
0.2,0.26,6
0.2,0.27,8
0.2,0.28,1
0.2,0.29,5
0.2,0.3,8
0.2,0.31,1
0.2,0.32,2
0.2,0.33,4
0.2,0.35,4
0.2,0.36,3
0.2,0.37,1
0.2,0.38,3
0.2,0.39,1
0.2,0.42,2
0.2,0.43,2
0.2,0.44,1
0.2,0.45,2
0.2,0.46,1
0.2,0.47,1
0.2,0.48,1
0.2,0.5,1
0.2,0.58,3
0.2,0.6,2
0.2,0.64,1
0.2,0.73,1
0.21,0,19
0.21,0.02,1
0.21,0.03,2
0.21,0.04,3
0.21,0.05,3
0.21,0.06,4
0.21,0.07,10
0.21,0.08,9
0.21,0.09,9
0.21,0.1,10
0.21,0.11,5
0.21,0.12,6
0.21,0.13,8
0.21,0.14,56
0.21,0.15,12
0.21,0.16,4
0.21,0.17,10
0.21,0.18,8
0.21,0.19,15
0.21,0.2,11
0.21,0.21,7
0.21,0.22,4
0.21,0.23,7
0.21,0.24,11
0.21,0.25,7
0.21,0.26,4
0.21,0.27,8
0.21,0.28,1
0.21,0.29,5
0.21,0.3,6
0.21,0.31,4
0.21,0.32,2
0.21,0.33,6
0.21,0.34,1
0.21,0.35,1
0.21,0.36,2
0.21,0.37,1
0.21,0.38,3
0.21,0.41,2
0.21,0.42,1
0.21,0.43,1
0.21,0.56,1
0.22,0,8
0.22,0.01,1
0.22,0.04,2
0.22,0.05,2
0.22,0.06,4
0.22,0.07,4
0.22,0.08,4
0.22,0.09,7
0.22,0.1,4
0.22,0.11,4
0.22,0.13,13
0.22,0.14,6
0.22,0.15,2
0.22,0.16,3
0.22,0.17,9
0.22,0.18,8
0.22,0.19,6
0.22,0.2,6
0.22,0.21,6
0.22,0.22,4
0.22,0.23,1
0.22,0.24,6
0.22,0.25,5
0.22,0.26,2
0.22,0.27,4
0.22,0.28,2
0.22,0.29,1
0.22,0.3,2
0.22,0.31,2
0.22,0.32,1
0.22,0.33,2
0.22,0.35,1
0.22,0.36,2
0.22,0.38,1
0.22,0.39,1
0.22,0.4,1
0.22,0.41,1
0.22,0.45,1
0.22,0.5,1
0.22,0.52,1
0.22,0.53,1
0.23,0,13
0.23,0.03,2
0.23,0.04,2
0.23,0.05,6
0.23,0.06,3
0.23,0.07,5
0.23,0.08,6
0.23,0.09,6
0.23,0.1,6
0.23,0.11,6
0.23,0.12,7
0.23,0.13,8
0.23,0.14,13
0.23,0.15,5
0.23,0.16,8
0.23,0.17,6
0.23,0.18,6
0.23,0.19,8
0.23,0.2,12
0.23,0.21,4
0.23,0.22,1
0.23,0.23,9
0.23,0.24,6
0.23,0.25,4
0.23,0.26,4
0.23,0.27,6
0.23,0.28,2
0.23,0.29,1
0.23,0.3,5
0.23,0.31,5
0.23,0.33,3
0.23,0.36,2
0.23,0.38,1
0.23,0.4,3
0.23,0.42,1
0.23,0.43,1
0.23,0.44,1
0.23,0.45,2
0.23,0.46,3
0.23,0.55,1
0.23,0.56,1
0.23,0.77,1
0.24,0,5
0.24,0.02,1
0.24,0.04,4
0.24,0.05,1
0.24,0.06,4
0.24,0.07,3
0.24,0.08,7
0.24,0.09,3
0.24,0.1,5
0.24,0.11,1
0.24,0.12,1
0.24,0.13,2
0.24,0.14,4
0.24,0.15,3
0.24,0.16,8
0.24,0.17,12
0.24,0.18,8
0.24,0.19,3
0.24,0.2,7
0.24,0.21,4
0.24,0.22,2
0.24,0.23,6
0.24,0.24,1
0.24,0.25,1
0.24,0.26,1
0.24,0.27,2
0.24,0.28,1
0.24,0.29,1
0.24,0.3,2
0.24,0.31,7
0.24,0.33,3
0.24,0.34,2
0.24,0.35,7
0.24,0.38,3
0.24,0.4,1
0.24,0.45,2
0.24,0.46,2
0.24,0.5,1
0.24,0.55,1
0.24,0.63,1
0.24,0.67,1
0.24,0.7,1
0.24,1,1
0.25,0,25
0.25,0.04,4
0.25,0.05,4
0.25,0.06,4
0.25,0.07,4
0.25,0.08,8
0.25,0.09,9
0.25,0.1,14
0.25,0.11,6
0.25,0.12,2
0.25,0.13,8
0.25,0.14,12
0.25,0.15,7
0.25,0.16,5
0.25,0.17,6
0.25,0.18,5
0.25,0.19,9
0.25,0.2,7
0.25,0.21,7
0.25,0.22,7
0.25,0.23,7
0.25,0.24,3
0.25,0.25,5
0.25,0.26,3
0.25,0.27,10
0.25,0.28,1
0.25,0.29,9
0.25,0.3,4
0.25,0.31,3
0.25,0.32,1
0.25,0.33,8
0.25,0.35,3
0.25,0.36,3
0.25,0.37,2
0.25,0.38,2
0.25,0.39,2
0.25,0.4,2
0.25,0.41,1
0.25,0.43,1
0.25,0.44,1
0.25,0.45,1
0.25,0.46,2
0.25,0.48,1
0.25,0.51,1
0.25,0.58,1
0.25,0.6,1
0.25,0.64,1
0.25,0.75,1
0.26,0,5
0.26,0.02,2
0.26,0.03,2
0.26,0.04,2
0.26,0.05,2
0.26,0.06,7
0.26,0.07,1
0.26,0.08,4
0.26,0.09,3
0.26,0.1,7
0.26,0.11,1
0.26,0.12,2
0.26,0.13,4
0.26,0.14,1
0.26,0.16,1
0.26,0.17,4
0.26,0.18,9
0.26,0.19,2
0.26,0.2,8
0.26,0.21,1
0.26,0.22,2
0.26,0.24,3
0.26,0.25,1
0.26,0.26,2
0.26,0.27,2
0.26,0.28,2
0.26,0.29,5
0.26,0.3,3
0.26,0.31,1
0.26,0.33,2
0.26,0.35,2
0.26,0.36,4
0.26,0.37,1
0.26,0.38,1
0.26,0.41,1
0.26,0.44,1
0.26,0.5,2
0.26,0.75,1
0.26,0.8,1
0.27,0,17
0.27,0.04,1
0.27,0.05,3
0.27,0.06,11
0.27,0.07,7
0.27,0.08,4
0.27,0.09,5
0.27,0.1,5
0.27,0.11,3
0.27,0.12,4
0.27,0.13,7
0.27,0.14,7
0.27,0.15,5
0.27,0.16,2
0.27,0.17,5
0.27,0.18,8
0.27,0.19,6
0.27,0.2,16
0.27,0.21,4
0.27,0.22,1
0.27,0.23,4
0.27,0.24,4
0.27,0.25,5
0.27,0.26,2
0.27,0.27,6
0.27,0.28,3
0.27,0.29,2
0.27,0.3,6
0.27,0.31,9
0.27,0.32,3
0.27,0.33,2
0.27,0.35,1
0.27,0.36,3
0.27,0.37,3
0.27,0.38,4
0.27,0.39,4
0.27,0.4,3
0.27,0.42,2
0.27,0.43,2
0.27,0.45,1
0.27,0.5,3
0.27,0.53,1
0.27,0.55,1
0.27,0.56,1
0.27,0.7,1
0.28,0,5
0.28,0.06,3
0.28,0.07,4
0.28,0.08,3
0.28,0.09,3
0.28,0.1,4
0.28,0.13,2
0.28,0.14,2
0.28,0.15,5
0.28,0.16,2
0.28,0.17,4
0.28,0.18,2
0.28,0.19,5
0.28,0.2,5
0.28,0.21,4
0.28,0.22,8
0.28,0.23,1
0.28,0.24,5
0.28,0.25,1
0.28,0.26,1
0.28,0.27,4
0.28,0.28,1
0.28,0.29,2
0.28,0.3,4
0.28,0.31,2
0.28,0.32,1
0.28,0.33,1
0.28,0.37,1
0.28,0.38,1
0.28,0.39,1
0.28,0.4,2
0.28,0.41,1
0.28,0.42,1
0.28,0.43,1
0.28,0.47,1
0.28,0.5,1
0.28,0.75,1
0.29,0,11
0.29,0.03,3
0.29,0.04,1
0.29,0.06,4
0.29,0.07,2
0.29,0.08,6
0.29,0.09,5
0.29,0.1,5
0.29,0.11,1
0.29,0.12,2
0.29,0.13,7
0.29,0.14,2
0.29,0.15,6
0.29,0.16,4
0.29,0.17,4
0.29,0.18,6
0.29,0.19,8
0.29,0.2,8
0.29,0.21,2
0.29,0.22,3
0.29,0.24,6
0.29,0.25,2
0.29,0.26,5
0.29,0.27,6
0.29,0.28,1
0.29,0.29,9
0.29,0.3,1
0.29,0.31,3
0.29,0.32,1
0.29,0.33,2
0.29,0.35,1
0.29,0.36,3
0.29,0.37,2
0.29,0.4,2
0.29,0.42,3
0.29,0.44,1
0.29,0.45,1
0.29,0.46,2
0.29,0.47,1
0.29,0.5,2
0.29,0.56,1
0.29,0.67,2
0.3,0,15
0.3,0.04,1
0.3,0.05,2
0.3,0.06,7
0.3,0.07,9
0.3,0.08,5
0.3,0.09,4
0.3,0.1,6
0.3,0.11,2
0.3,0.12,3
0.3,0.13,12
0.3,0.14,3
0.3,0.15,3
0.3,0.16,1
0.3,0.17,7
0.3,0.18,4
0.3,0.19,7
0.3,0.2,3
0.3,0.21,6
0.3,0.22,3
0.3,0.23,4
0.3,0.24,4
0.3,0.25,4
0.3,0.26,3
0.3,0.27,6
0.3,0.28,2
0.3,0.29,5
0.3,0.3,7
0.3,0.31,1
0.3,0.33,6
0.3,0.35,1
0.3,0.36,3
0.3,0.38,4
0.3,0.39,2
0.3,0.4,5
0.3,0.42,2
0.3,0.43,3
0.3,0.44,1
0.3,0.45,1
0.3,0.46,2
0.3,0.5,4
0.3,0.58,1
0.3,0.69,1
0.3,0.77,1
0.3,0.91,1
0.31,0,8
0.31,0.04,1
0.31,0.05,2
0.31,0.07,3
0.31,0.08,1
0.31,0.1,4
0.31,0.11,2
0.31,0.12,1
0.31,0.13,4
0.31,0.14,3
0.31,0.15,3
0.31,0.17,3
0.31,0.18,3
0.31,0.19,3
0.31,0.2,4
0.31,0.21,7
0.31,0.22,3
0.31,0.23,1
0.31,0.24,1
0.31,0.25,2
0.31,0.26,4
0.31,0.27,2
0.31,0.28,2
0.31,0.29,4
0.31,0.32,1
0.31,0.33,4
0.31,0.34,1
0.31,0.35,3
0.31,0.36,1
0.31,0.38,3
0.31,0.4,2
0.31,0.42,2
0.31,0.43,1
0.31,0.44,1
0.31,0.48,1
0.31,0.5,2
0.31,0.55,1
0.31,0.61,1
0.31,0.67,1
0.32,0,4
0.32,0.02,1
0.32,0.05,1
0.32,0.07,2
0.32,0.08,3
0.32,0.09,1
0.32,0.1,2
0.32,0.12,1
0.32,0.15,1
0.32,0.17,1
0.32,0.18,4
0.32,0.19,2
0.32,0.2,7
0.32,0.21,1
0.32,0.23,3
0.32,0.24,1
0.32,0.25,2
0.32,0.26,1
0.32,0.27,2
0.32,0.28,2
0.32,0.29,3
0.32,0.3,1
0.32,0.31,1
0.32,0.32,1
0.32,0.33,2
0.32,0.36,1
0.32,0.37,1
0.32,0.38,2
0.32,0.39,2
0.32,0.4,1
0.32,0.43,2
0.32,0.44,1
0.32,0.47,1
0.32,0.5,2
0.32,0.53,1
0.33,0,13
0.33,0.04,1
0.33,0.05,5
0.33,0.06,1
0.33,0.07,2
0.33,0.08,2
0.33,0.09,2
0.33,0.1,2
0.33,0.11,3
0.33,0.12,3
0.33,0.13,4
0.33,0.14,4
0.33,0.15,5
0.33,0.16,3
0.33,0.17,4
0.33,0.18,3
0.33,0.19,5
0.33,0.2,7
0.33,0.21,2
0.33,0.22,3
0.33,0.23,3
0.33,0.24,3
0.33,0.25,4
0.33,0.26,7
0.33,0.27,9
0.33,0.29,1
0.33,0.3,4
0.33,0.31,7
0.33,0.32,2
0.33,0.33,4
0.33,0.35,1
0.33,0.36,4
0.33,0.38,1
0.33,0.39,2
0.33,0.4,9
0.33,0.42,2
0.33,0.45,1
0.33,0.46,1
0.33,0.47,1
0.33,0.49,1
0.33,0.5,1
0.33,0.51,1
0.33,0.53,1
0.33,0.55,4
0.33,0.6,2
0.33,0.64,1
0.33,0.67,1
0.33,0.78,1
0.33,0.8,1
0.33,0.83,1
0.34,0,2
0.34,0.08,1
0.34,0.13,2
0.34,0.15,1
0.34,0.16,1
0.34,0.18,3
0.34,0.2,1
0.34,0.22,1
0.34,0.24,1
0.34,0.27,1
0.34,0.29,1
0.34,0.32,1
0.34,0.36,1
0.34,0.38,1
0.34,0.4,1
0.34,0.44,2
0.34,0.45,2
0.34,0.55,1
