hit_rate_q1,hit_rate_q2,files
0,0,1954
0,0.01,76
0,0.02,88
0,0.03,174
0,0.04,123
0,0.05,115
0,0.06,132
0,0.07,120
0,0.08,136
0,0.09,101
0,0.1,113
0,0.11,77
0,0.12,52
0,0.13,111
0,0.14,71
0,0.15,113
0,0.16,44
0,0.17,76
0,0.18,92
0,0.19,31
0,0.2,72
0,0.21,21
0,0.22,47
0,0.23,29
0,0.24,13
0,0.25,21
0,0.26,3
0,0.27,22
0,0.28,4
0,0.29,16
0,0.3,11
0,0.31,15
0,0.32,6
0,0.33,13
0,0.34,1
0,0.35,2
0,0.36,12
0,0.38,3
0,0.39,3
0,0.4,6
0,0.42,3
0,0.43,2
0,0.46,1
0,0.47,1
0,0.5,2
0,0.51,1
0,0.76,1
0.01,0,20
0.01,0.01,5
0.01,0.02,5
0.01,0.03,5
0.01,0.04,3
0.01,0.05,3
0.01,0.06,2
0.01,0.07,3
0.01,0.1,2
0.01,0.11,3
0.01,0.28,1
0.01,0.31,1
0.02,0,242
0.02,0.01,5
0.02,0.02,47
0.02,0.03,26
0.02,0.04,22
0.02,0.05,12
0.02,0.06,13
0.02,0.07,12
0.02,0.08,5
0.02,0.09,10
0.02,0.1,10
0.02,0.11,7
0.02,0.12,4
0.02,0.13,5
0.02,0.14,2
0.02,0.15,2
0.02,0.17,4
0.02,0.18,1
0.02,0.2,2
0.02,0.22,1
0.03,0,286
0.03,0.01,13
0.03,0.02,23
0.03,0.03,29
0.03,0.04,32
0.03,0.05,28
0.03,0.06,43
0.03,0.07,18
0.03,0.08,18
0.03,0.09,15
0.03,0.1,17
0.03,0.11,8
0.03,0.12,7
0.03,0.13,15
0.03,0.14,17
0.03,0.15,9
0.03,0.16,7
0.03,0.17,8
0.03,0.18,5
0.03,0.19,4
0.03,0.2,7
0.03,0.21,3
0.03,0.22,2
0.03,0.23,1
0.03,0.24,4
0.03,0.25,2
0.03,0.27,2
0.03,0.29,1
0.03,0.33,2
0.03,0.35,1
0.03,0.38,2
0.03,0.42,1
0.03,0.44,1
0.04,0,169
0.04,0.01,14
0.04,0.02,26
0.04,0.03,44
0.04,0.04,56
0.04,0.05,32
0.04,0.06,33
0.04,0.07,41
0.04,0.08,36
0.04,0.09,19
0.04,0.1,27
0.04,0.11,21
0.04,0.12,11
0.04,0.13,20
0.04,0.14,16
0.04,0.15,23
0.04,0.16,15
0.04,0.17,7
0.04,0.18,7
0.04,0.19,7
0.04,0.2,6
0.04,0.21,2
0.04,0.23,4
0.04,0.25,3
0.04,0.26,1
0.04,0.27,4
0.04,0.28,1
0.04,0.3,1
0.04,0.32,1
0.04,0.33,1
0.04,0.35,1
0.04,0.36,2
0.04,0.38,1
0.04,0.4,1
0.04,0.47,1
0.05,0,175
0.05,0.01,8
0.05,0.02,26
0.05,0.03,36
0.05,0.04,34
0.05,0.05,41
0.05,0.06,30
0.05,0.07,25
0.05,0.08,25
0.05,0.09,23
0.05,0.1,14
0.05,0.11,16
0.05,0.12,11
0.05,0.13,16
0.05,0.14,22
0.05,0.15,10
0.05,0.16,11
0.05,0.17,17
0.05,0.18,18
0.05,0.19,10
0.05,0.2,10
0.05,0.21,7
0.05,0.22,5
0.05,0.23,4
0.05,0.24,3
0.05,0.25,7
0.05,0.26,1
0.05,0.27,5
0.05,0.28,1
0.05,0.29,2
0.05,0.31,2
0.05,0.32,1
0.05,0.33,2
0.05,0.36,5
0.05,0.38,1
0.05,0.4,2
0.05,0.5,2
0.06,0,193
0.06,0.01,12
0.06,0.02,26
0.06,0.03,40
0.06,0.04,34
0.06,0.05,38
0.06,0.06,46
0.06,0.07,30
0.06,0.08,49
0.06,0.09,29
0.06,0.1,44
0.06,0.11,28
0.06,0.12,19
0.06,0.13,31
0.06,0.14,26
0.06,0.15,19
0.06,0.16,6
0.06,0.17,22
0.06,0.18,17
0.06,0.19,8
0.06,0.2,12
0.06,0.21,9
0.06,0.22,3
0.06,0.23,12
0.06,0.24,7
0.06,0.25,6
0.06,0.26,7
0.06,0.27,10
0.06,0.28,1
0.06,0.29,3
0.06,0.3,5
0.06,0.31,2
0.06,0.32,1
0.06,0.33,1
0.06,0.35,1
0.06,0.38,4
0.06,0.4,1
0.06,0.41,1
0.06,0.42,1
0.06,0.5,1
0.06,0.55,1
0.06,0.93,1
0.07,0,157
0.07,0.01,5
0.07,0.02,17
0.07,0.03,45
0.07,0.04,23
0.07,0.05,48
0.07,0.06,60
0.07,0.07,52
0.07,0.08,44
0.07,0.09,24
0.07,0.1,36
0.07,0.11,23
0.07,0.12,16
0.07,0.13,37
0.07,0.14,22
0.07,0.15,21
0.07,0.16,7
0.07,0.17,13
0.07,0.18,14
0.07,0.19,3
0.07,0.2,18
0.07,0.21,6
0.07,0.22,5
0.07,0.23,7
0.07,0.24,4
0.07,0.25,12
0.07,0.26,1
0.07,0.27,8
0.07,0.28,4
0.07,0.29,5
0.07,0.3,6
0.07,0.31,6
0.07,0.32,2
0.07,0.33,3
0.07,0.35,1
0.07,0.38,1
0.07,0.4,2
0.07,0.41,1
0.07,0.42,1
0.07,0.43,1
0.07,0.45,2
0.07,0.46,1
0.07,0.47,1
0.08,0,175
0.08,0.01,5
0.08,0.02,16
0.08,0.03,21
0.08,0.04,36
0.08,0.05,31
0.08,0.06,48
0.08,0.07,40
0.08,0.08,50
0.08,0.09,34
0.08,0.1,35
0.08,0.11,20
0.08,0.12,20
0.08,0.13,25
0.08,0.14,26
0.08,0.15,35
0.08,0.16,21
0.08,0.17,10
0.08,0.18,20
0.08,0.19,11
0.08,0.2,27
0.08,0.21,9
0.08,0.22,3
0.08,0.23,7
0.08,0.24,8
0.08,0.25,16
0.08,0.26,2
0.08,0.27,14
0.08,0.28,2
0.08,0.29,7
0.08,0.3,9
0.08,0.31,2
0.08,0.32,1
0.08,0.33,5
0.08,0.34,2
0.08,0.35,4
0.08,0.36,1
0.08,0.37,1
0.08,0.38,4
0.08,0.4,1
0.08,0.43,2
0.08,0.44,1
0.08,0.45,2
0.08,0.47,1
0.08,0.5,4
0.08,0.53,1
0.08,0.55,1
0.09,0,184
0.09,0.01,3
0.09,0.02,13
0.09,0.03,21
