repo_name,files,major_extension,major_files,major_avg_size,major_capped_avg_file,major_std_size,major_capped_std_file,major_extension_ratio
kaspar030/RIOT,1828,.c,1549,5894.24532,5894.24532,8255.642746,8255.642746,0.847374179
sathieu/samba,4611,.c,3085,16373.13225,15751.08493,32344.46841,24298.28627,0.669052266
igou/rt-thread,7495,.c,6413,25307.60159,22719.88882,64071.31533,32398.47386,0.855637091
mikpe/otp,732,.c,527,21237.06831,19554.97343,44874.76871,34770.0136,0.719945355
electricimp/otp,732,.c,527,21220.42505,19543.2296,44823.03372,34752.18861,0.719945355
jj1bdx/otp,732,.c,527,21237.06831,19554.97343,44874.76871,34770.0136,0.719945355
isvilen/otp,732,.c,527,21235.94877,19555.19545,44864.62584,34770.324,0.719945355
legoscia/otp,732,.c,527,21220.36053,19543.16509,44822.96955,34752.10273,0.719945355
mihadyuk/ChibiOS,876,.c,783,10923.63602,9298.987229,38457.00809,15980.69365,0.893835616
iNavFlight/inav,1118,.c,1039,23895.89798,21074.24543,57604.43368,31952.89748,0.929338104
hali9/inav,1118,.c,1039,23895.89798,21074.24543,57604.43368,31952.89748,0.929338104
bjorng/otp,731,.c,528,21349.35417,19679.95644,44836.78221,34895.84731,0.722298222
vinoski/otp,731,.c,528,21426.43561,19728.73106,45055.95708,34946.13527,0.722298222
vathpela/systemd,877,.c,784,18126.39796,17930.20791,27652.93043,25973.33091,0.893956671
fingolfin/gap,1165,.c,1040,11113.45385,11059.67981,24593.02277,24177.81686,0.892703863
NTAP/quant,22,.c,17,17868.76471,17868.76471,18078.06884,18078.06884,0.772727273
pscedu/slash2-stable,671,.c,529,15402.58979,14465.32892,36585.4025,23725.54323,0.788375559
Plasmaworks/Rogue,26,.c,18,4082.611111,4082.611111,3046.169014,3046.169014,0.692307692
pexip/meson,875,.c,530,247.9735849,247.9735849,460.5181631,460.5181631,0.605714286
MathieuDuponchelle/meson,875,.c,530,247.9735849,247.9735849,460.5181631,460.5181631,0.605714286
ssiccha/gap,1167,.c,1042,11062.381,11011.50864,24425.93666,24033.89756,0.892887746
GaryKeeble/betaflight,1436,.c,1298,22477.81664,20219.19029,52763.58242,30664.67864,0.903899721
AubrCool/rt-thread,7503,.c,6418,25289.6689,22703.97211,64049.64821,32391.02224,0.855391177
gdamjan/systemd,879,.c,787,18152.53113,17955.1474,27831.35863,26155.13183,0.895335609
fbuihuu/systemd,879,.c,787,18105.00254,17907.50826,27904.66414,26231.30039,0.895335609
martinpitt/systemd,879,.c,787,18104.63405,17907.13977,27905.28218,26231.95507,0.895335609
miguelinux/systemd,879,.c,787,18187.10419,17989.51715,27883.41018,26209.43415,0.895335609
whot/systemd,879,.c,787,18105.03685,17907.54257,27905.58375,26232.27891,0.895335609
brycedjohnson/betaflight,1437,.c,1299,22469.14242,20212.25481,52753.3273,30669.61959,0.903966597
NicolasDichtel/linux,28168,.c,26389,18698.38039,18235.95312,30321.24998,25515.61304,0.936843226
stmuk/rakudo,43,.c,22,3740.5,3740.5,7764.943282,7764.943282,0.511627907
freeciv/freeciv,676,.c,534,31534.7809,30206.18165,45507.01356,39702.92149,0.789940828
alex-konovalov/gap,1178,.c,1046,10327.16157,10287.8413,22115.20484,21780.82219,0.887945671
dmuhlhei/AliPhysics,7460,.c,4374,15119.28509,14755.7428,26426.41214,22036.25322,0.586327078
wedesoft/aiscm,28,.c,23,8947,8947,10630.0757,10630.0757,0.821428571
si618/betaflight,1441,.c,1303,22418.02916,20168.06984,52691.28455,30651.73375,0.904233171
beretta42/fuzix,1944,.c,1303,5627.700691,5627.700691,11554.12106,11554.12106,0.67026749
iquiw/emacs-Win32-IME,340,.c,283,43989.09894,35260.10601,94055.43404,52735.265,0.832352941
bhimebau/ChibiOS,895,.c,795,8173.693082,8173.693082,8863.246544,8863.246544,0.888268156
endlessm/systemd,888,.c,796,18006.15955,17812.55025,27759.40989,26109.39323,0.896396396
msekletar/systemd,894,.c,796,18091.74372,17884.46985,28125.01364,26366.28543,0.890380313
khaledhosny/psautohint,50,.c,30,12126.2,12126.2,12609.90036,12609.90036,0.6
bstarynk/bismon,44,.c,30,88001.73333,72699.4,100729.1096,66034.83195,0.681818182
kfowler/emacs,343,.c,286,43604.02448,35082,93186.64913,52585.60184,0.833819242
mina86/emacs,343,.c,286,43578.65035,35048.30769,93174.09723,52538.31376,0.833819242
0xAX/emacs,343,.c,286,43476.61538,35026.41608,92914.589,52517.94482,0.833819242
4712betaflight/betaflight,1449,.c,1310,22351.06718,20113.13053,52588.33285,30630.69927,0.904071774
wind0r/betaflight,1449,.c,1310,22351.06718,20113.13053,52588.33285,30630.69927,0.904071774
FStarLang/kremlin,41,.c,31,1666.193548,1666.193548,3437.006677,3437.006677,0.756097561
fsateler/systemd,897,.c,799,17995.31414,17787.6771,28108.82559,26347.39175,0.890746934
ALICEHLT/AliPhysics,7152,.c,4127,14523.20111,14148.36685,26257.53942,21664.16248,0.577041387
kibook/s1kd-tools,32,.c,32,20387.21875,20387.21875,16620.68292,16620.68292,1
sebsx/betaflight,1451,.c,1312,22336.86357,20102.33841,52556.95721,30621.43814,0.904203997
becm/meson,905,.c,545,249.5614679,249.5614679,459.9375481,459.9375481,0.602209945
jvesely/gegl,581,.c,545,9837.150459,9549.689908,18411.13683,13991.39186,0.938037866
mesonbuild/meson,910,.c,545,249.587156,249.587156,459.9363409,459.9363409,0.598901099
jpakkane/meson,905,.c,545,249.5614679,249.5614679,459.9375481,459.9375481,0.602209945
AlienWiiBF/betaflight,1453,.c,1314,22340.96651,20109.84247,52533.91448,30627.70044,0.904335857
adrianmiriuta/betaflight,1453,.c,1314,22341.26788,20110.14384,52534.36373,30628.49299,0.904335857
AndersHoglund/betaflight,1453,.c,1314,22341.26788,20110.14384,52534.36373,30628.49299,0.904335857
kc10kevin/betaflight,1453,.c,1314,22331.29985,20100.1758,52525.03492,30611.76227,0.904335857
betaflight/betaflight,1453,.c,1314,22340.91096,20109.78691,52533.86678,30627.61457,0.904335857
geniusgogo/rt-thread,7878,.c,6690,25334.94993,22845.75396,63113.36557,32431.34897,0.849200305
emacs-mirror/emacs,350,.c,293,44024.28669,35648.84642,92506.14052,52181.9598,0.837142857
stinsonga/emacs-mirror,350,.c,293,43960.22867,35649.51536,92335.97418,52183.53128,0.837142857
jameszhan/FUZIX,1958,.c,1317,5601.744115,5601.744115,11521.89185,11521.89185,0.672625128
Softmotions/iowow,41,.c,38,11898.78947,11898.78947,20075.17546,20075.17546,0.926829268
boazsegev/facil.io,44,.c,38,25343.86842,21003.28947,55972.78348,31613.73791,0.863636364
legatoproject/legato-af,738,.c,550,19237.21636,18982.3,30549.60713,28748.15497,0.745257453
GNOME/devhelp,52,.c,39,12562.33333,12562.33333,9758.051953,9758.051953,0.75
jsynacek/systemd,908,.c,807,17871.60471,17666.16729,28022.73765,26273.56438,0.88876652
adbridge/mbed-os,5725,.c,4135,19970.0133,19394.40073,33466.24019,26375.97124,0.722270742
dkogan/emacs-snapshot,354,.c,296,44310.27027,35944.79054,92617.14231,52702.13494,0.836158192
Aranud/etlegacy,319,.c,296,36851.10811,36292.85811,37689.32454,35058.45746,0.927899687
salewski/emacs,353,.c,296,44300.16892,35942.97973,92597.72242,52697.28395,0.838526912
etlegacy/etlegacy,319,.c,296,37024.61486,36473.74324,37903.93935,35366.26405,0.927899687
hcab14/AliPhysics,7482,.c,4392,15124.72632,14756.46881,26487.20575,22068.73399,0.587008821
Lyris12/ygopro,83,.c,42,18143.52381,18143.52381,17381.51991,17381.51991,0.506024096
hfp/libxsmm,453,.c,298,18452.35906,18250.1443,25521.62719,23948.51388,0.657836645
bakpakin/gst,45,.c,44,12168.72727,12168.72727,10003.16173,10003.16173,0.977777778
CZ-NIC/knot,446,.c,300,9842.57,9473.26,18672.3601,13467.15842,0.67264574
emacsmirror/erlang,759,.c,556,20309.14568,18713.46403,43481.28943,33517.24726,0.73254282
getong/otp,759,.c,556,20309.14568,18713.46403,43481.28943,33517.24726,0.73254282
erlang/otp,759,.c,556,20309.14568,18713.46403,43481.28943,33517.24726,0.73254282
GNOME/gegl,597,.c,557,10025.01795,9743.750449,19157.97334,15067.03452,0.932998325
idaholab/mastodon,53,.c,46,6140.847826,6140.847826,5793.160465,5793.160465,0.867924528
jardasgit/libvirt,596,.c,558,33034.17204,28134.27599,70916.19401,38635.49811,0.936241611
pchrista/AliPhysics,7491,.c,4398,15127.66917,14758.71669,26533.90679,22118.86192,0.587104525
cminyard/linux-live-app-coredump,28187,.c,26414,18705.20788,18233.85633,30411.92298,25518.79859,0.937098663
rneugeba/linux-stable,28187,.c,26414,18705.20788,18233.85633,30411.92298,25518.79859,0.937098663
ngtcp2/ngtcp2,59,.c,47,18516.2766,18233.48936,35479.58058,34081.69846,0.79661017
nickfajones/ngtcp2,59,.c,47,18516.2766,18233.48936,35479.58058,34081.69846,0.79661017
eskultety/libvirt,597,.c,559,33172.49553,28178.42218,71724.72014,38698.97467,0.936348409
andreabolognani/libvirt,597,.c,559,33135.161,28156.45796,71590.84613,38680.88326,0.936348409
spdk/dpdk,1110,.c,1071,23448.07376,22132.19234,39572.10913,28968.88835,0.964864865
ValdisVitolins/espeak-ng,91,.c,48,37103.5,34715.91667,52404.2751,42833.19291,0.527472528
openwrt-es/linux,28191,.c,26416,18706.06428,18234.32488,30416.95936,25519.827,0.937036643
codeaurora-unoffical/linux-msm,28191,.c,26416,18706.41861,18234.67921,30417.13851,25520.04708,0.937036643
crobinso/libvirt,602,.c,562,32922.83986,27918.88612,71799.19235,38665.47625,0.933554817
olafhering/libvirt,602,.c,562,32914.70107,27917.89858,71750.82001,38664.33072,0.933554817
nertpinx/libvirt,602,.c,562,32924.29359,27918.06762,71805.44737,38663.91985,0.933554817
zippy2/libvirt,602,.c,562,32921.94662,27917.99288,71799.01107,38665.02382,0.933554817
libvirt/libvirt,602,.c,562,32924.29359,27918.06762,71805.44737,38663.91985,0.933554817
freerangerouting/frr,747,.c,562,22921.76157,21665.94662,38254.86442,28931.6653,0.752342704
mongodb/mongo-c-driver,385,.c,309,18585.98058,18547.35599,24992.73453,24731.82595,0.802597403
shentino/kotaka,309,.c,309,2702.33657,2702.33657,2323.933166,2323.933166,1
globbie/knowdy,55,.c,54,16199.96296,16199.96296,14515.97967,14515.97967,0.981818182
agclark81/janus-gateway,83,.c,54,117253.1296,51605.44444,475315.985,59552.77835,0.65060241
pallab-gain/janus-gateway,84,.c,55,116873.4909,51751.27273,471183.7822,59082.56332,0.654761905
derickr/mongo-c-driver,387,.c,311,18433.20257,18394.82637,24934.45752,24674.39064,0.803617571
acmorrow/mongo-c-driver,385,.c,311,18358.61093,18320.23473,24798.95417,24537.33412,0.807792208
jmikola/mongo-c-driver,387,.c,311,18442.80064,18404.42444,24945.82443,24685.89227,0.803617571
seb3s/janus-gateway,85,.c,56,115530.5,51308.07143,467124.1583,58786.00336,0.658823529
meetecho/janus-gateway,85,.c,56,115769.2679,51495.66071,467101.7348,58746.36273,0.658823529
deuiore/mpv,385,.c,312,15390.40064,15298.83013,20976.16973,20177.28914,0.81038961
neiljay/RIOT,1560,.c,1336,5665.69012,5665.69012,8248.876204,8248.876204,0.856410256
toonst/RIOT,1560,.c,1336,5666.625,5666.625,8249.143503,8249.143503,0.856410256
andrzej-kaczmarek/incubator-mynewt-core,1939,.c,1592,18909.37688,18625.4956,30641.05679,28619.41822,0.821041774
andrzej-kaczmarek/apache-mynewt-core,1939,.c,1592,18909.37688,18625.4956,30641.05679,28619.41822,0.821041774
Monetra/mstdlib,328,.c,316,13185.47152,13185.47152,10862.20743,10862.20743,0.963414634
splantefeve/systemd,933,.c,829,17832.53197,17624.96502,28197.89787,26462.72736,0.888531618
walyong/systemd,933,.c,829,17844.05549,17636.11098,28220.43798,26484.31889,0.888531618
keszybz/systemd,933,.c,829,17847.29795,17639.12786,28220.62018,26483.11561,0.888531618
dthain/basekernel,66,.c,62,8144.145161,7606.645161,27539.19864,23497.53898,0.939393939
mashaoze/esp-idf,1023,.c,831,19036.00361,16699.76655,71766.2732,23797.11767,0.812316716
grondo/flux-core,426,.c,320,12499.09375,12409.69375,19497.07757,18641.87215,0.751173709
tblume/systemd-upstream,936,.c,832,17795.8762,17589.75721,28170.05562,26443.98253,0.888888889
napatech/dpdk,1129,.c,1088,23810.51838,22484.2932,40303.41566,29610.10086,0.963684677
alxm/a2x,69,.c,65,5911.430769,5911.430769,5207.848608,5207.848608,0.942028986
thewml/website-meta-language,100,.c,65,17212.09231,17212.09231,27355.40025,27355.40025,0.65
jmikola/mongo-php-driver,94,.c,66,9760.727273,9760.727273,14707.53311,14707.53311,0.70212766
jmikola/mongo-php-driver-prototype,94,.c,66,9760.727273,9760.727273,14707.53311,14707.53311,0.70212766
madcowswe/ODrive,131,.c,66,31847.78788,31847.78788,39915.57272,39915.57272,0.503816794
10gen-labs/mongo-php-driver-prototype,94,.c,66,9760.727273,9760.727273,14707.53311,14707.53311,0.70212766
derickr/mongo-php-driver-prototype,94,.c,66,9760.727273,9760.727273,14707.53311,14707.53311,0.70212766
mongodb/mongo-php-driver,94,.c,66,9760.727273,9760.727273,14707.53311,14707.53311,0.70212766
derickr/mongo-php-driver,94,.c,66,9760.727273,9760.727273,14707.53311,14707.53311,0.70212766
madcowswe/ODriveFirmware,131,.c,66,31847.78788,31847.78788,39915.57272,39915.57272,0.503816794
mongodb-labs/mongo-php-driver-prototype,94,.c,66,9760.727273,9760.727273,14707.53311,14707.53311,0.70212766
samba-team/samba,4695,.c,3138,16456.47196,15823.71319,32453.86546,24427.34254,0.668370607
beermix/source,1082,.c,835,9423.050299,9296.749701,15489.70078,13543.98371,0.771719039
P-p-H-d/mlib,78,.c,68,5152.176471,5152.176471,4688.922395,4688.922395,0.871794872
ahezard/nds-bootstrap,102,.c,68,8984.808824,8984.808824,9432.466643,9432.466643,0.666666667
giaf/blasfeo,431,.c,324,13870.71605,13769.5679,28716.96124,28064.51717,0.751740139
josephnoir/RIOT,1579,.c,1350,5683.022963,5683.022963,8268.666162,8268.666162,0.854971501
MichelRottleuthner/RIOT,1579,.c,1350,5683.219259,5683.219259,8269.655559,8269.655559,0.854971501
MesserLab/SLiM,126,.c,72,10379.41667,10198.73611,24632.57249,23284.95999,0.571428571
Azarien/chocolate-doom,335,.c,328,22882.35976,20164.9878,51170.55618,28054.3822,0.979104478
ret2libc/radare2-regressions,129,.c,73,2040.69863,2040.69863,4883.343881,4883.343881,0.565891473
SAOImageDS9/SAOImageDS9,3397,.c,2889,29344.90447,22827.18172,159924.3474,35570.98169,0.850456285
FluidSynth/fluidsynth,74,.c,74,21038.02703,20372.48649,32820.00519,28792.13538,1
Hyask/radare2-regressions,139,.c,74,2090.202703,2090.202703,5143.300079,5143.300079,0.532374101
GNOME/gnome-todo,80,.c,74,11941.43243,11941.43243,9184.510773,9184.510773,0.925
alvarofe/radare2-regressions,139,.c,74,2090.202703,2090.202703,5143.300079,5143.300079,0.532374101
jroimartin/radare2-regressions,130,.c,74,2053.594595,2053.594595,4850.892184,4850.892184,0.569230769
condret/radare2-regressions,138,.c,74,2101.054054,2101.054054,5148.199382,5148.199382,0.536231884
chocolate-doom/chocolate-doom,337,.c,330,22847.77879,20146.83939,51034.60771,28001.97704,0.979228487
chungy/chocolate-doom,337,.c,330,22841.76667,20140.86364,51034.1533,28001.16089,0.979228487
radare/radare2-regressions,128,.c,75,2109.706667,2109.706667,5142.718026,5142.718026,0.5859375
rfuentess/RIOT,1599,.c,1355,5642.794834,5642.794834,8268.300774,8268.300774,0.847404628
df8oe/UHSDR,1486,.c,1355,30866.39779,22520.75277,90603.71915,37457.56842,0.911843876
galak/zephyr,3063,.c,2891,17922.9111,17254.25527,34215.14072,27384.26144,0.943845903
matthiasclasen/flatpak,106,.c,76,29788.11842,25941.10526,59358.37477,35481.56291,0.716981132
armink/rt-thread,6836,.c,5964,24792.89906,22026.08065,65598.39211,31932.19153,0.872440023
hezlog/rt-thread,6836,.c,5964,24792.87307,22026.05466,65598.39651,31932.19832,0.872440023
weety/rt-thread,7928,.c,6732,25223.19727,22749.53105,62934.95876,32358.6455,0.849142281
gnu-mcu-eclipse/openocd,414,.c,333,22364.98198,22364.98198,24394.54665,24394.54665,0.804347826
GStreamer/gst-plugins-good,626,.c,589,20276.1528,19345.34635,35086.45839,26719.26442,0.940894569
basilfx/RIOT,1603,.c,1357,5641.769344,5641.769344,8271.263293,8271.263293,0.846537742
brummer-simon/RIOT,1603,.c,1357,5641.731024,5641.731024,8271.276886,8271.276886,0.846537742
alexey-lysiuk/doomretro,81,.c,80,40779.975,37912.15,55711.30117,45663.49353,0.987654321
gopro/gopro-lib-node.gl,116,.c,80,8026.9875,8026.9875,7356.038813,7356.038813,0.689655172
bradharding/doomretro,81,.c,80,45056.3625,38129.1,75022.57854,45884.17439,0.987654321
flatpak/flatpak,113,.c,80,29434.125,25788.15,57883.43143,35016.3412,0.707964602
mergar/cbsd,103,.c,80,8978.55,8978.55,8356.890028,8356.890028,0.776699029
jasoncarlough/doomretro,81,.c,80,40780.225,37912.4,55711.38922,45663.61685,0.987654321
btovar/cctools,638,.c,336,25691.8869,9911.205357,297355.8975,17892.1378,0.526645768
zhiyisun/linux,28006,.c,26192,18556.92841,18094.02505,30156.65652,25343.87035,0.935228165
djwong/linux-xfs-dev,28006,.c,26192,18557.49305,18094.52234,30157.67944,25344.56126,0.935228165
HarveyHunt/linux,28006,.c,26192,18554.79268,18092.07376,30152.5709,25340.8484,0.935228165
