name,fork,language,contributors_count,forks_count,network_count,open_issues_count,stargazers_count,subscribers_count,watchers_count
acton393/incubator-weex,TRUE,C++,172,1,1539,0,2,4,2
Acyd69/roll20-character-sheets,TRUE,HTML,381,0,1768,0,0,1,0
adamcharnock/lightbus,FALSE,Python,1,6,6,3,21,3,21
adamliter/homebrew-core,TRUE,Ruby,420,0,5673,0,0,1,0
adamnemecek/AudioKit,TRUE,C++,78,0,952,0,1,1,1
adamreese/helm,TRUE,Go,396,0,3200,0,0,1,0
AdamSpeight2008/roslyn-AdamSpeight2008,TRUE,C#,293,0,2523,2,0,1,0
adamtheturtle/vws-python,FALSE,Python,3,0,0,6,4,2,4
adamweeks/spark-js-sdk,TRUE,JavaScript,26,2,93,0,0,1,0
AdaptiveConsulting/ReactiveTraderCloud,FALSE,C#,38,321,321,35,1048,114,1048
adbridge/mbed-os,TRUE,C,344,0,1759,1,0,2,0
adessaigne/camel,TRUE,Java,312,0,3192,0,0,2,0
Adikteev/Prebid.js,TRUE,JavaScript,408,0,854,0,0,8,0
adityahase/frappe,TRUE,Python,241,0,843,0,0,1,0
adityakali/kubernetes,TRUE,Go,372,0,16475,0,0,1,0
admshao/obs-studio,TRUE,C,232,0,2530,0,0,2,0
AdoptOpenJDK/openjdk-build,FALSE,Shell,32,67,67,137,229,59,229
adrbarros/Zeus.Net.NFe.NFCe,TRUE,C#,31,0,264,0,0,1,0
adrian-lang/adrian,FALSE,Python,2,2,2,0,2,2,2
adrianmiriuta/betaflight,TRUE,C,329,0,1129,0,1,1,1
adrianschroeter/open-build-service,TRUE,Ruby,137,1,264,1,0,2,0
AdrianV/Framework7,TRUE,CSS,96,0,2907,0,0,1,0
advancedresearch/path_semantics,FALSE,Rust,1,2,2,52,41,22,41
Aegeaner/spark,TRUE,Scala,339,0,17972,0,0,1,0
aeons/http4s,TRUE,Scala,152,0,409,0,0,1,0
aertmann/flow-development-collection,TRUE,PHP,139,0,131,0,0,1,0
AevumDecessus/fragforce.org,TRUE,Python,12,0,15,0,0,0,0
africanmathsinitiative/R-Instat,FALSE,Visual Basic,25,53,53,551,11,5,11
agocke/roslyn,TRUE,C#,296,1,2523,0,1,2,1
ahmedaljazzar/edx-platform,TRUE,Python,233,0,2293,0,0,2,0
ahnqirage/spark,TRUE,Scala,340,0,17972,0,0,0,0
ahocevar/cdnjs,TRUE,,396,0,3850,0,0,0,0
ahoppen/swift,TRUE,C++,407,0,7355,0,1,1,1
aimeex3/spark-js-sdk,TRUE,JavaScript,26,0,93,0,0,1,0
airbornemihir/turbo-octo-sniffle,FALSE,Common Lisp,2,0,0,0,0,1,0
airodactyl/qutebrowser,TRUE,Python,215,1,589,2,0,2,0
airslie/renalware-core,FALSE,Ruby,8,2,2,0,2,4,2
airspeedswift/swift,TRUE,C++,407,1,7355,0,1,3,1
AjuntamentdeCastello/consul,TRUE,Ruby,102,1,493,0,1,3,1
akaviaLab/cobratoolbox,TRUE,MATLAB,71,0,176,0,0,1,0
akeeba/translations,FALSE,HTML,26,1,1,0,1,2,1
akrherz/iem,FALSE,PHP,3,22,22,93,54,12,54
akvo/akvo-rsr,FALSE,Python,27,18,18,134,29,27,29
AladW/aurutils,FALSE,Shell,29,55,55,18,400,33,400
alainjobart/vitess,TRUE,Go,116,0,947,0,1,1,1
AlandSailingRobots/sailingrobot,FALSE,C++,23,4,4,3,7,8,7
alanfgates/hive,TRUE,Java,166,0,2315,0,0,1,0
alblue/swift,TRUE,C++,406,0,7355,0,0,1,0
AlbrechtL/welle.io,FALSE,C,25,53,53,21,194,28,194
alchemy-fr/Phraseanet,FALSE,PHP,29,58,58,27,105,21,105
alecalve/bitcoin,TRUE,C++,367,0,21969,0,0,2,0
aledbf/kubernetes,TRUE,Go,378,0,16475,0,0,1,0
alejandroEsc/kubernetes,TRUE,Go,375,0,16475,0,0,0,0
aleju/imgaug,FALSE,Python,15,1022,1022,106,4891,174,4891
AlekseyTs/roslyn,TRUE,C#,297,0,2523,0,0,0,0
Alex-Code/yii2,TRUE,PHP,360,0,6702,0,0,1,0
alex-konovalov/gap,TRUE,GAP,37,0,87,0,0,3,0
AlexanderLyNL/jasp-desktop,TRUE,R,34,0,97,0,1,1,1
alexanderlz/redash,TRUE,Python,209,0,1847,0,0,0,0
AlexandreBERGIA/LivrOr_V4,FALSE,PHP,2,0,0,17,1,1,1
alexbrand/kubernetes,TRUE,Go,378,0,16475,0,0,1,0
AlexCatarino/Lean,TRUE,C#,84,0,1215,0,2,2,2
alexgibson/bedrock,TRUE,HTML,224,0,772,0,0,1,0
alexgorban/models,TRUE,Python,400,1,29040,0,3,1,3
alexkli/jackrabbit-oak,TRUE,Java,22,0,275,0,0,1,0
alfred-bratterud/IncludeOS,TRUE,C++,57,1,273,0,3,1,3
aliaspider/RetroArch,TRUE,C,244,0,823,0,6,4,6
alibaba/canal,FALSE,Java,57,2670,2670,119,7286,914,7286
AlienWiiBF/betaflight,TRUE,C,329,0,1129,0,0,2,0
alikins/ansible,TRUE,Python,379,0,14147,2,0,0,0
aljoscha/flink,TRUE,Java,308,1,3546,0,0,5,0
AllanYangZhou/oppia,TRUE,Python,215,0,880,0,0,1,0
allenday/KiwiIRC,TRUE,Vue,15,0,66,0,0,1,0
allevato/swift,TRUE,C++,405,0,7355,0,0,1,0
Allors/allors2,FALSE,C#,3,0,0,0,0,1,0
allthings/elements,FALSE,JavaScript,11,5,5,18,14,10,14
AllureOfTheStars/Allure,FALSE,Haskell,6,6,6,23,83,9,83
almut-heinken/cobratoolbox,TRUE,Matlab,71,0,176,0,0,1,0
alpha-unito/PiCo,FALSE,C++,4,3,3,17,7,3,7
